"shortnam","africa","lat_abst","rich4","avexpr","logpgp95","logem4","asia","loghjypl"
"AGO",1,0.136666670441628,0,5.36363649368286,7.77064514160156,5.63478946685791,0,-3.41124773025513
"ARG",0,0.37777778506279,0,6.38636350631714,9.13345909118652,4.23265600204468,0,-0.872273802757263
"AUS",0,0.300000011920929,1,9.31818199157715,9.89797210693359,2.14593124389648,0,-0.170788332819939
"BFA",1,0.144444450736046,0,4.45454549789429,6.84588003158569,5.63478946685791,0,-3.54045939445496
"BGD",0,0.266666680574417,0,5.13636350631714,6.87729597091675,4.26843786239624,1,-2.06356811523438
"BHS",0,0.268333315849304,0,7.5,9.28544807434082,4.44265127182007,0,NA
"BOL",0,0.188888892531395,0,5.63636350631714,7.92660236358643,4.26268005371094,0,-1.96611285209656
"BRA",0,0.111111111938953,0,7.90909099578857,8.72745418548584,4.26268005371094,0,-1.14256417751312
"CAN",0,0.666666686534882,1,9.72727298736572,9.98644924163818,2.77881932258606,0,-0.0608121566474438
"CHL",0,0.333333343267441,0,7.81818199157715,9.33609199523926,4.23265600204468,0,-1.33560121059418
"CIV",1,0.0888888910412788,0,7,7.44424867630005,6.50428819656372,0,-2.3330442905426
"CMR",1,0.0666666701436043,0,6.45454549789429,7.50108194351196,5.63478946685791,0,-2.57702207565308
"COG",1,0.0111111113801599,0,4.68181800842285,7.420578956604,5.48063898086548,0,-2.10373425483704
"COL",0,0.0444444455206394,0,7.31818199157715,8.80986309051514,4.26268005371094,0,-1.33180618286133
"CRI",0,0.111111111938953,0,7.04545450210571,8.79482460021973,4.35799026489258,0,-1.35867917537689
"DOM",0,0.21111111342907,0,6.18181800842285,8.36404228210449,4.86753463745117,0,-1.57987916469574
"DZA",1,0.311111122369766,0,6.5,8.38935947418213,4.35926961898804,0,-1.11474168300629
"ECU",0,0.0222222227603197,0,6.54545450210571,8.47010135650635,4.26268005371094,0,-1.43969511985779
"EGY",1,0.300000011920929,0,6.77272748947144,7.95155954360962,4.21656227111816,0,-1.67664659023285
"ETH",1,0.0888888910412788,0,5.72727251052856,6.10924768447876,3.25809645652771,0,NA
"GAB",1,0.0111111113801599,0,7.81818199157715,8.90788269042969,5.63478946685791,0,-1.85150945186615
"GHA",1,0.0888888910412788,0,6.27272748947144,7.36518001556396,6.50428819656372,0,-2.95651149749756
"GIN",1,0.122222222387791,0,6.54545450210571,7.48997068405151,6.18001651763916,0,-3.14655518531799
"GMB",1,0.147555559873581,0,8.27272701263428,7.27239847183228,7.29301786422729,0,-3.03655433654785
"GTM",0,0.170000001788139,0,5.13636350631714,8.29404926300049,4.26268005371094,0,-1.56064772605896
"GUY",0,0.0555555559694767,0,5.88636350631714,7.90470409393311,3.47134518623352,0,-2.25379490852356
"HKG",0,0.246111109852791,0,8.1363639831543,10.049750328064,2.70136117935181,1,-0.49758043885231
"HND",0,0.16666667163372,0,5.31818199157715,7.68708038330078,4.35799026489258,0,-2.04022097587585
"HTI",0,0.21111111342907,0,3.72727274894714,7.14677238464355,4.86753463745117,0,-2.8647038936615
"IDN",0,0.0555999986827374,0,7.59090900421143,8.0709056854248,5.13579845428467,1,-2.20727491378784
"IND",0,0.222200006246567,0,8.27272701263428,7.32600021362305,3.88424062728882,1,-2.45340800285339
"JAM",0,0.201666668057442,0,7.09090900421143,8.18868923187256,4.86753463745117,0,-2.04022097587585
"KEN",1,0.0111111113801599,0,6.04545450210571,7.05617523193359,4.97673368453979,0,-2.88240361213684
"LKA",0,0.0777777805924416,0,6.04545450210571,7.73193073272705,4.24563407897949,1,-1.86433017253876
"MAR",1,0.355555564165115,0,7.09090900421143,8.04237842559814,4.35926961898804,0,-1.67664659023285
"MDG",1,0.222222223877907,0,4.45454549789429,6.8351845741272,6.28420877456665,0,-3.1941831111908
"MEX",0,0.25555557012558,0,7.5,8.94376754760742,4.26268005371094,0,-0.83701753616333
"MLI",1,0.188888892531395,0,4,6.56526517868042,7.98616504669189,0,-3.35240721702576
"MLT",0,0.394444435834885,0,7.22727251052856,9.42706298828125,2.7911651134491,0,-0.770028233528137
"MYS",0,0.0255555547773838,0,7.95454549789429,8.89425849914551,2.87356472015381,1,-1.32050669193268
"NER",1,0.177777782082558,0,5,6.73340177536011,5.99146461486816,0,-3.54045939445496
"NGA",1,0.111111111938953,0,5.54545450210571,6.8134446144104,7.60290050506592,0,-3.03655433654785
"NIC",0,0.144444450736046,0,5.22727251052856,7.5443320274353,5.09558916091919,0,-2.07147336006165
"NZL",0,0.455555558204651,1,9.72727298736572,9.75614738464355,2.14593124389648,0,-0.33267942070961
"PAK",0,0.333333343267441,0,6.04545450210571,7.35244131088257,3.61064767837524,1,-2.05572485923767
"PAN",0,0.100000001490116,0,5.90909099578857,8.83637428283691,5.09558916091919,0,-1.50058352947235
"PER",0,0.111111111938953,0,5.77272748947144,8.39615440368652,4.26268005371094,0,-1.43969511985779
"PRY",0,0.25555557012558,0,6.95454549789429,8.20794677734375,4.35799026489258,0,-1.77195680141449
"SDN",1,0.16666667163372,0,4,7.30653142929077,4.47960710525513,0,-2.70306253433228
"SEN",1,0.155555561184883,0,6,7.40245151519775,5.10388278961182,0,-2.63108921051025
"SGP",0,0.0135555556043983,0,9.31818199157715,10.1464338302612,2.87356472015381,1,-0.500875294208527
"SLE",1,0.0922222211956978,0,5.81818199157715,6.25382900238037,6.18001651763916,0,-2.74887204170227
"SLV",0,0.150000005960464,0,5,7.94803190231323,4.35799026489258,0,-1.85150945186615
"TGO",1,0.0888888910412788,0,6.90909099578857,7.2225661277771,6.50428819656372,0,-3.21887588500977
"TTO",0,0.122222222387791,0,7.45454549789429,8.76873016357422,4.44265127182007,0,-0.697155237197876
"TUN",1,0.37777778506279,0,6.45454549789429,8.4826021194458,4.14313459396362,0,-1.52785789966583
"TZA",1,0.0666666701436043,0,6.63636350631714,6.25382900238037,5.63478946685791,0,-3.44201922416687
"UGA",1,0.0111111113801599,0,4.45454549789429,6.96602439880371,5.63478946685791,0,-3.44201922416687
"URY",0,0.366666674613953,0,7,9.03121376037598,4.26268005371094,0,-1.07880961894989
"USA",0,0.422222226858139,1,10,10.2157402038574,2.70805025100708,0,0
"VEN",0,0.0888888910412788,0,7.13636350631714,9.07107830047607,4.35799026489258,0,-0.703197479248047
